date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:14	12822/12822	---M--	200	added ('OK')	text/css	etag:%223216-5736c6bc34e71%22	http://www.innovationplans.com/idesign/arco/css/plugins/helper.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/helper.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:16	220625/220625	---M--	200	added ('OK')	image/svg+xml	etag:%2235dd1-5736c69e06671%22	http://www.innovationplans.com/idesign/arco/img/wave.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/wave.svg	(from http://www.innovationplans.com/idesign/arco/css/style.css)
18:33:24	481218/481218	---M--	200	added ('OK')	image/png	etag:%22757c2-5736c6a624833%22	http://www.innovationplans.com/idesign/arco/img/pattern.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/pattern.png	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:28	389/389	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:03:27%20GMT	http://www.innovationplans.com/idesign/arco/popper.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/popper.js	(from http://www.innovationplans.com/idesign/arco/js/bootstrap.min.js)
18:33:36	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:03:35%20GMT	https://www.innovationplans.com/idesign/arco/popper.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/popper.3a.delayed	(from http://www.innovationplans.com/idesign/arco/js/bootstrap.min.js)
18:33:36	1922/1922	---M--	200	added ('OK')	image/png	etag:%22782-5736c69814350%22	http://www.innovationplans.com/idesign/arco/img/logo-dark.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/logo-dark.png	(from http://www.innovationplans.com/idesign/arco/js/scripts.js)
18:33:38	391/391	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:03:37%20GMT	http://www.innovationplans.com/idesign/arco/contact.php	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/contact.php	(from http://www.innovationplans.com/idesign/arco/js/scripts.js)
18:33:44	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:03:39%20GMT	https://www.innovationplans.com/idesign/arco/contact.php	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/contact.php	(from http://www.innovationplans.com/idesign/arco/js/scripts.js)
18:33:45	21478/21478	---M--	200	added ('OK')	text/html	etag:%2253e6-5736c684295d5%22	http://www.innovationplans.com/idesign/arco/fonts/linea-basic-10.eot	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/linea-basic-10.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css)
18:33:46	21478/21478	---M--	200	added ('OK')	text/html	etag:%2253e6-5736c684295d5%22	http://www.innovationplans.com/idesign/arco/fonts/linea-basic-10.eot?	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/linea-basic-10d41d.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css)
18:33:46	12260/12260	---M--	200	added ('OK')	text/html	etag:%222fe4-5736c6869405e%22	http://www.innovationplans.com/idesign/arco/fonts/linea-basic-10.woff	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/linea-basic-11.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css)
